房间号   预订状态   预定方式   房客学号  费用
101   2024-11-30 16:33   按时   2024212329   0
102   2024-12-01 19:51   按时   2024212329   0
103   2024-12-01 19:46   按时   2024212329   0
104   2024-12-01 19:54   按时   2024212329   0
105    无       按日     无      0
106   2024-12-01 19:57   按时   2024212329   0
201   无   按时   无  1
202    无       按日     无      0
203   无   按时   无  1
204    无       按日     无      0
205    无       按日     无      0
206    无       按日     无      0
301   无   按时   无  0
302    无       按日     无      0
303    无       按日     无      0
304    无       按日     无      0
305    无       按日     无      0
306    无       按日     无      0
401    无       按日     无      0
402    无       按日     无      0
403    无       按日     无      0
404    无       按日     无      0
405    无       按日     无      0
406    无       按日     无      0
501    无       按日     无      0
502    无       按日     无      0
503    无       按日     无      0
504    无       按日     无      0
505    无       按日     无      0
506    无       按日     无      0
601   2024-11-30 13:29   按时   2024212329   0
602    无       按日     无      0
603    无       按日     无      0
604    无       按日     无      0
605    无       按日     无      0
606   无   按日   无  0
